state_order,branch_resolution_code,ambiguity_handling_code,source_mask_key,ph908_source_terminal_count,ph908_receiver_terminal_count,ph908_source_country_count,ph908_receiver_country_count,ph908_source_adequacy_A_s,ph908_diversity_contrast_D,weak_directional_compatibility,matched_r1a_comparator_envelope_entry,positive_controls_pass,minimum_matched_r1a_source_adequacy_A_s,maximum_matched_r1a_diversity_contrast_D,R_Z280_source_adequacy_A_s,R_Z280_diversity_contrast_D,R_M458_source_adequacy_A_s,R_M458_diversity_contrast_D,source_adequacy_gap_to_matched_r1a_envelope,diversity_contrast_gap_to_matched_r1a_envelope,source_adequacy_multiplier_needed,additional_diversity_decrease_needed
1,deepest_observed,ambiguous_included,all_non_balkan_non_diaspora,90,25,17,3,3.6,-1.4185195084146278,Yes,No,Yes,8.895833333333334,-2.091958101906439,8.895833333333334,-2.091958101906439,9.775,-2.2545742385502265,5.295833333333334,0.673438593491811,2.471064814814815,0.673438593491811
2,count_balanced_frontier,ambiguous_included,all_non_balkan_non_diaspora,90,56,17,2,1.6071428571428572,-1.9319357935817767,Yes,No,Yes,8.895833333333334,-0.2483195215130858,8.895833333333334,-0.5898506714703612,9.775,-0.2483195215130858,7.288690476190476,-1.683616272068691,5.535185185185186,0.0
3,depth3_cutset,ambiguous_included,all_non_balkan_non_diaspora,90,56,17,2,1.6071428571428572,-1.9319357935817767,Yes,No,Yes,8.895833333333334,-0.2483195215130858,8.895833333333334,-0.5898506714703612,9.775,-0.2483195215130858,7.288690476190476,-1.683616272068691,5.535185185185186,0.0
4,depth2_cutset,ambiguous_included,all_non_balkan_non_diaspora,90,57,17,2,1.5789473684210529,-1.6385573493273289,Yes,No,No,8.895833333333334,0.0854755918341427,8.895833333333334,-0.4230594303798231,9.775,0.0854755918341427,7.316885964912281,-1.7240329411614717,5.634027777777777,0.0
5,deepest_observed,ambiguous_excluded,eastern_northern_western_europe,59,25,14,3,2.36,-1.2303082630027655,Yes,No,Yes,4.631944444444445,-1.5493288798508835,4.631944444444445,-1.5493288798508835,7.375,-2.037859135397897,2.2719444444444448,0.319020616848118,1.9626883239171378,0.319020616848118
6,direct_child_cutset,ambiguous_included,all_non_balkan_non_diaspora,90,31,17,2,2.903225806451613,-0.6703779204552716,Yes,No,No,8.895833333333334,0.0854822342339089,8.895833333333334,-0.3834665148768112,9.775,0.0854822342339089,5.992607526881721,-0.7558601546891804,3.0641203703703703,0.0
7,count_balanced_frontier,ambiguous_excluded,eastern_northern_western_europe,59,56,14,2,1.0535714285714286,-1.6595118888904052,Yes,No,Yes,4.631944444444445,-0.2299323948704232,4.631944444444445,-0.5661894914512782,7.375,-0.2299323948704232,3.578373015873016,-1.429579494019982,4.396421845574388,0.0
8,depth3_cutset,ambiguous_excluded,eastern_northern_western_europe,59,56,14,2,1.0535714285714286,-1.6595118888904052,Yes,No,Yes,4.631944444444445,-0.2299323948704232,4.631944444444445,-0.5661894914512782,7.375,-0.2299323948704232,3.578373015873016,-1.429579494019982,4.396421845574388,0.0
9,depth2_cutset,ambiguous_excluded,eastern_northern_western_europe,59,57,14,2,1.0350877192982455,-1.3918498972338578,Yes,No,No,4.631944444444445,0.0804547238034145,4.631944444444445,-0.3812202333770715,7.375,0.0804547238034145,3.596856725146199,-1.4723046210372723,4.474929378531074,0.0
10,direct_child_cutset,ambiguous_excluded,all_non_balkan_non_diaspora,60,31,15,2,1.935483870967742,-0.5736824464189841,Yes,No,No,4.631944444444445,0.0804664515324572,4.631944444444445,-0.3486776155571206,7.375,0.0804664515324572,2.6964605734767026,-0.6541488979514414,2.3931712962962965,0.0
