requirement_number,completion_requirement,current_evidence,audit_status,evidence_files,claim_boundary
1,Numbered S1 source bundle exists and is manifest-covered,s1_00_source_file_manifest.csv records every S1 source-data file except itself; hashes are validated by the renderer.,Pass,s1_00_source_file_manifest.csv,"Completion audit for Supplementary Figure S1 reproducibility only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
2,All plotted ancient-DNA points have row-level QA,475 plotted ancient-DNA rows; s1_12 has 475 pass rows and s1_11 has 0 point-level QA failures.,Pass,s1_01_ancient_dna_plotted_points.csv; s1_12_ancient_dna_point_level_quality_control_audit.csv,"Completion audit for Supplementary Figure S1 reproducibility only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
3,All PH908 relic localities have row-level QA,11 branch-derived PH908 relic localities; s1_13 has 11 pass rows.,Pass,s1_02_ph908_relic_footprint_locality_points.csv; s1_13_ph908_relic_locality_quality_control_audit.csv,"Completion audit for Supplementary Figure S1 reproducibility only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
4,PH908 relic calculations are explicitly reproducible,"s1_17 recomputes elevation bands, >=500 m and >=800 m flags, and nearest visible-proxy Haversine distances for all 11 relic rows; 0 calculation failures.",Pass,s1_17_ph908_relic_locality_calculation_trace.csv,"Completion audit for Supplementary Figure S1 reproducibility only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
5,All ancient-DNA source-publication labels have DOI or URL evidence,s1_14 records 20 source publication labels and 20 DOI/URL evidence rows.,Pass,s1_14_ancient_dna_source_reference_coverage.csv,"Completion audit for Supplementary Figure S1 reproducibility only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
6,AADR-backed plotted points are traceable to source rows,"s1_15 records 409 AADR source rows, with 407 direct coordinate matches and 2 documented publication-source coordinate overrides; 0 unresolved mismatches.",Pass,s1_15_aadr_v66_source_rows_used_for_s1.csv,"Completion audit for Supplementary Figure S1 reproducibility only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
7,Non-AADR plotted points are traceable to direct supplementary sources,s1_16 records 66 non-AADR direct supplementary source rows with neutral source-file labels.,Pass,s1_16_non_aadr_supplement_source_rows_used_for_s1.csv,"Completion audit for Supplementary Figure S1 reproducibility only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
8,Regional directness and visibility claims are reproduced,s1_03 and s1_04 reproduce four region rows and 0 strict direct negative controls; Bosanska Krajina denominator is corrected to 3 plotted relic localities.,Pass,s1_03_visibility_directness_by_region.csv; s1_04_direct_negative_control_candidate_trace.csv,"Completion audit for Supplementary Figure S1 reproducibility only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
9,Elevation visibility claims are reproduced,"s1_07 through s1_09 reproduce 8/100, 1/100, 5/57, 7/11, and 4/11 highland counts and supporting exact/effect-size tests.",Pass,s1_07_elevation_band_summary.csv; s1_08_elevation_effect_size_tests.csv; s1_09_elevation_threshold_exact_tests.csv,"Completion audit for Supplementary Figure S1 reproducibility only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
10,Figure-making code is tidy and reproducible,"scripts/make_supplementary_figure_s1.py reads the numbered S1 bundle, validates manifest hashes and claim counts, and writes deterministic PNG/PDF outputs.",Pass,scripts/make_supplementary_figure_s1.py,"Completion audit for Supplementary Figure S1 reproducibility only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
11,Regenerated figure artifacts exist and are provenance-recorded,"Table 20 records script, manifest, value validation, command, output paths, and SHA-256 hashes for PNG/PDF.",Pass,tables/20_supplementary_figure_s1_visibility_map_provenance.csv,"Completion audit for Supplementary Figure S1 reproducibility only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
12,Repository text-surface boundary is enforced,"Targeted repository language audit found 0 disallowed terminology hits in the S1 bundle, script, and Table 20 provenance.",Pass,s1_00_source_file_manifest.csv; s1_11_supplementary_figure_s1_value_validation.csv,"Completion audit for Supplementary Figure S1 reproducibility only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
13,PH908 relic-footprint derivation and circularity guard are documented,"s1_19 records the upstream branch-anomaly derivation pathway, parent-or-anchor age gate >=1400 ybp, fixed 11-row current S1 target layer, Y283553 exclusion, plotted-layer reconciliation, row-level QA linkage, and non-use of the layer in source-receiver compatibility calculations.",Pass,s1_19_ph908_relic_footprint_derivation_trace.csv,"Completion audit for Supplementary Figure S1 reproducibility only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
