trace_order,derivation_component,derivation_rule_or_evidence,current_repository_file,upstream_branch_anomaly_file,audit_status,circularity_guard,claim_boundary
1,Source observation layer,"The locality layer is a modern branch-derived plotting and directness target layer, not an ancient-DNA layer and not a modern frequency surface.","source_data/supplementary_figure_s1/s1_02_ph908_relic_footprint_locality_points.csv","dnk_source_table.csv; 01_preprocessing.R",Pass,"Not used to compute source adequacy, diversity contrast, atlas state assignment, comparator envelopes, adversarial masks, visibility-bias reversal, synthetic degradation, or PH908 compatibility decisions.","Derivation trace for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
2,PH908 branch annotation,"The upstream branch-anomaly preprocessing annotates PH908 branch structure from a PH908 branch map after matched-row, geocoding, country-boundary, terminal-SNP, and region filters.","source_data/core_yfull/yfull_public_ytree_lineage_identity_crosswalk.csv","01_preprocessing.R; ph908_branch_map.tsv",Pass,"Branch annotation provenance is not used by the current source-receiver model to define the R1a comparator envelope or PH908 source-receiver coordinates.","Derivation trace for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
3,Relic-branch class,"The upstream branch-anomaly source-sink code classifies small terminal branches as relic branches using branch size <=3, with founder branches defined separately as branch size >=15.","source_data/supplementary_figure_s1/s1_19_ph908_relic_footprint_derivation_trace.csv","07_pillar6_sourcesink.R; 06_pillar5_depth.R",Pass,"The relic-branch class is used here only to document the origin of the S1 target layer, not to score source-receiver compatibility.","Derivation trace for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
4,Parent-or-anchor age gate,"The prior Supplementary Figure S1 derivation code reads the branch-map output with AGE_FILTER = 1400. The retained current S1 locality rows each expose their branch-map parent or anchor and age in s1_02; all 11 rows pass parent-or-anchor age >=1400 ybp.","source_data/supplementary_figure_s1/s1_02_ph908_relic_footprint_locality_points.csv","ph908_branch_map.tsv; 19_render_figure2_coverage_elevation_redesign.py",Pass,"The age gate is used only to document the plotted/directness target layer, not to score the held-out source-receiver contrast.","Derivation trace for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
5,Relic-region ranking,"The upstream branch-anomaly code ranks PH908 relic branches by dominant region and uses a top-4 PH908 relic-region core as the primary relic context; the recorded top-4 regions are Bosanska Krajina, Brda, Stari Vlah, and Kosovo.","source_data/supplementary_figure_s1/s1_02_ph908_relic_footprint_locality_points.csv","07_pillar6_sourcesink.R; tables/table_p6b_baseline_topk.csv",Pass,"The top-4 relic-region context does not define the current paper's source mask, receiver mask, comparator thresholds, or atlas states.","Derivation trace for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
6,Age-gated upstream reconciliation,"The prior S1 derivation output contains 14 locality rows at age_filter_ybp = 1400 across the four displayed regions. Two rows belong to ambiguous Y283553 and are excluded. Y188841 is present in the prior age-gated derivation output but is not part of the final 11-row plotted/directness layer. The current S1 table is therefore a fixed plotted layer derived from, but not presented as an exhaustive export of, every age-gated upstream row.","source_data/supplementary_figure_s1/s1_02_ph908_relic_footprint_locality_points.csv","ph908_age_filtered_cluster_points.csv; 87_render_figure2_directness_altitude_band_story_v2.py",Pass,"This reconciliation affects only the S1 plotting/directness denominator and is not used in any source-receiver model score.","Derivation trace for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
7,Current S1 locality layer,"The current S1 source bundle fixes 11 PH908 relic-footprint locality rows across Bosanska Krajina (3), Brda / northern Montenegro (2), Stari Vlah (2), and Kosovo (4).","source_data/supplementary_figure_s1/s1_02_ph908_relic_footprint_locality_points.csv","ph908_age_filtered_cluster_points.csv; tables/table_p6b_baseline_topk.csv",Pass,"The 11 locality rows are used only as the directness target for Supplementary Figure S1 and the ancient-DNA boundary paragraph.","Derivation trace for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
8,Ambiguous-row exclusion,"Ambiguous Y283553 is excluded from the current S1 relic-footprint locality layer and the figure renderer stops if Y283553 is present.","source_data/supplementary_figure_s1/s1_02_ph908_relic_footprint_locality_points.csv; scripts/make_supplementary_figure_s1.py","ph908_branch_map.tsv; 87_render_figure2_directness_altitude_band_story_v2.py",Pass,"The exclusion is a source-layer quality-control rule for the S1 directness target only.","Derivation trace for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
9,Point-level reproducibility,"The current S1 bundle records row-level QA for all 11 locality rows and independently recalculates elevation bands, >=500 m and >=800 m indicators, and nearest-proxy Haversine distances.","source_data/supplementary_figure_s1/s1_13_ph908_relic_locality_quality_control_audit.csv; source_data/supplementary_figure_s1/s1_17_ph908_relic_locality_calculation_trace.csv","geocoded_locations_cache.rds",Pass,"Distance and elevation calculations support only the ancient-DNA directness and ecological-visibility boundary analysis.","Derivation trace for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
10,Interpretive boundary,"The relic-footprint layer is a fixed modern branch-derived target for direct ancient-DNA absence testing; it is not an ancient territory, migration route, ethnic map, frequency surface, origin claim, continuity claim, or ancient PH908 observation.","tables/22_supplementary_figure_s1_ph908_relic_footprint_locality_points_note.md; source_data/supplementary_figure_s1/s1_02_ph908_relic_footprint_locality_points.csv; source_data/supplementary_figure_s1/s1_13_ph908_relic_locality_quality_control_audit.csv","07_pillar6_sourcesink.R",Pass,"The layer is evaluated only in the ancient-DNA directness and ecological-visibility boundary analysis.","Derivation trace for Supplementary Figure S1 only; not evidence of PH908 presence, PH908 absence, geographic origin, ethnic identity, population continuity, or migration route."
